,Statute,OffenseDescription,OffenseDescription2,OffenseType
6692,625 5/3-707           TK042922,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6693,625 5/3-707           TK057104,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6694,625 5/3-707          38741723,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6695,625 5/3-707          38743898,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6696,625 5/3-707          38979190,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6697,625 5/3-707          38984610,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6698,625 5/3-707          38997677,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6699,625 5/3-707          38999941,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6700,625 5/3-707          39004075,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6701,625 5/3-707          8737724,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6702,625 5/3-707          TH367188,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6703,625 5/3-707          TH486670,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6704,625 5/3-707          TH524553,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6705,625 5/3-707          TH557022,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6706,625 5/3-707          TH575330,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6707,625 5/3-707          TH576171,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6708,625 5/3-707          TH610374,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6709,625 5/3-707          TH635105,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6710,625 5/3-707          TK034223,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6711,625 5/3-707          TK069768,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6712,625 5/3-707         38989940,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6713,625 5/3-707         38992651,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6714,625 5/3-707         TH-451-041,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6715,625 5/3-707         TH363288,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6716,625 5/3-707         TH380624,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6717,625 5/3-707         TH480386,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6718,625 5/3-707         TH481884,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6719,625 5/3-707         TH488387,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6720,625 5/3-707         TH570001,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6721,625 5/3-707         TH570539,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6722,625 5/3-707         TH579907,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6723,625 5/3-707         TH600111,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6724,625 5/3-707         TK013982,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6725,625 5/3-707         TK023733,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6726,625 5/3-707        TH-067-069,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6727,625 5/3-707        TH078741,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6728,625 5/3-707        TH390059,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6729,625 5/3-707        TH436668,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6730,625 5/3-707        TH537245,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6731,625 5/3-707        TH567035,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6732,625 5/3-707        TH568075,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6733,625 5/3-707        TH610289,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6734,625 5/3-707        TK140597,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6735,625 5/3-707       TH249272,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6736,625 5/3-707       TH270299,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6737,625 5/3-707       TH534571,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6738,625 5/3-707       TH586766,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6739,625 5/3-707       TH588776,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6740,625 5/3-707      TH495602,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6741,625 5/3-707      TH602026,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6742,625 5/3-707     TH-398-704,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6743,625 5/3-707     TH-490-964,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6744,625 5/3-707     TH392486,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6745,625 5/3-707     TH444225,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6746,625 5/3-707    TH436-835,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6747,625 5/3-707    TN-608-895,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6748,625 5/3-707 (A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6749,625 5/3-707 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6750,625 5/3-707 TH 354 038,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6751,625 5/3-707 TK-244-169,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6752,625 5/3-707 TN-310-121,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6753,625 5/3-707 TN254448,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6754,625 5/3-707 TN363573,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6755,625 5/3-707 TN496077,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6756,625 5/3-707 TN509115,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6757,625 5/3-707 TN577068,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6758,625 5/3-707 TN598682,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6759,625 5/3-707 TN822219,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6760,625 5/3-707 YE690348,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6761,625 5/3-707 YE717593,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6762,625 5/3-707-,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6763,625 5/3-707-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6764,625 5/3-707-A,Other offense,Other public order offense,Public order offense
6765,625 5/3-707-A   TN632593,Other offense,Other public order offense,Public order offense
6766,625 5/3-707-A  3051126,Other offense,Other public order offense,Public order offense
6767,625 5/3-707-A TN547296,Other offense,Other public order offense,Public order offense
6768,625 5/3-707-A TN585612,Other offense,Other public order offense,Public order offense
6769,625 5/3-707-A TN741224,Other offense,Other public order offense,Public order offense
6770,625 5/3-707-A TN764897,Other offense,Other public order offense,Public order offense
6771,625 5/3-707-A TN783806,Other offense,Other public order offense,Public order offense
6772,625 5/3-707-A TN824006,Other offense,Other public order offense,Public order offense
6773,625 5/3-707-A TN846616,Other offense,Other public order offense,Public order offense
6774,625 5/3-707-A TQ014177,Other offense,Other public order offense,Public order offense
6775,625 5/3-707-A TU022295,Other offense,Other public order offense,Public order offense
6776,625 5/3-707-A TU095397,Other offense,Other public order offense,Public order offense
6777,625 5/3-707-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6778,625 5/3-707-A-5,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6779,625 5/3-707(A-5),Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6780,625 5/3-707(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6781,625 5/3-707000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6782,625 5/3-707A,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6783,625 5/3-707A-5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6784,625 5/3-707A5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6785,625 5/3-708,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6786,625 5/3-710,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6787,625 5/3.413 (F),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6788,625 5/3.707,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6789,625 5/3.708,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6790,625 5/3/707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6791,625 5/303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6792,625 5/303-A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6793,625 5/303(A)D-3(1),Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6794,625 5/305(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6795,625 5/31-1,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
6796,625 5/31-1-A,Resisting or obstructing a peace officer,Obstructing justice/resisting or obstructing peace officer,Public order offense
6797,625 5/31-4.5,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
6798,625 5/31-4.5-A-2,Obstructing identification,Obstructing justice/resisting or obstructing peace officer,Public order offense
6799,625 5/3112000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6800,625 5/3113-8-00,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6801,625 5/3401,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6802,625 5/3401A00,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6803,625 5/3413,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6804,625 5/3413A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6805,625 5/3413B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6806,625 5/3413F,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6807,625 5/370-2200,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6808,625 5/370-700,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6809,625 5/3703,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6810,625 5/3707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6811,625 5/3707-00,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6812,625 5/3707-000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6813,625 5/3707000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6814,625 5/4 103(A)(6),Other offense,Other public order offense,Public order offense
6815,625 5/4-0102,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6816,625 5/4-102,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
6817,625 5/4-102  1,Criminal damage to property,Criminal damage to property/institutional vandalism,Propert offense
6818,625 5/4-102 (A)(1),Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6819,625 5/4-102 1,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6820,625 5/4-102 I,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6821,625 5/4-102-1,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6822,625 5/4-102-A-1,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6823,625 5/4-102-A-2,Other offense,Other public order offense,Public order offense
6824,625 5/4-102(A)(1),Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6825,625 5/4-102(A)(2),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6826,625 5/4-103,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6827,625 5/4-103 A 1,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6828,625 5/4-103-A-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6829,625 5/4-103-A-1-A,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6830,625 5/4-103-A-1-F,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6831,625 5/4-103-A-2,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6832,625 5/4-103-A-3,Other offense,Other public order offense,Public order offense
6833,625 5/4-103-A-5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6834,625 5/4-103-A-6,Other offense,Other public order offense,Public order offense
6835,625 5/4-103-A-7,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6836,625 5/4-103.1-A,Vehicle theft conspiracy,Possession of stolen motor vehicle,Propert offense
6837,625 5/4-103.2,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6838,625 5/4-103.2-7-A,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6839,625 5/4-103.2-A-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6840,625 5/4-103.2-A-2,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6841,625 5/4-103.2-A-3,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6842,625 5/4-103.2-A-6,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6843,625 5/4-103.2-A-7,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
6844,625 5/4-103.2-A-7-A,Possession of fraudulent drivers license,Other vehicle-related offense,DUI/vehicle offense
6845,625 5/4-103(A)(1),Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6846,625 5/4-103(A)(3),Other offense,Other public order offense,Public order offense
6847,625 5/4-103(A)(5),Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6848,625 5/4-103A-1,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6849,625 5/4-103A1,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6850,625 5/4-104,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6851,625 5/4-104 (A)(4),Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6852,625 5/4-104 A 1,Damage to vehicle,Vehicular invasion/trespass to vehicle,Propert offense
6853,625 5/4-104-A-1,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6854,625 5/4-104-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6855,625 5/4-104-A-3,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6856,625 5/4-104-A-4,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6857,625 5/4-104-A-4      TK034222,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6858,625 5/4-104-A-4      TK069767,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6859,625 5/4-104-A-5,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6860,625 5/4-104(A)-(4),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6861,625 5/4-104(A)(1),Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6862,625 5/4-104(A)(3),Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6863,625 5/4-104(A)(4),Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6864,625 5/4-104(A)(5),Other offense,Other public order offense,Public order offense
6865,625 5/4-104A4,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6866,625 5/4-105,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6867,625 5/4-105-A-1,Vehicle title offense,Other vehicle-related offense,DUI/vehicle offense
6868,625 5/4-105-A-5,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6869,625 5/4-4,Consuming alcohol in public,Other public order offense,Public order offense
6870,625 5/4-404,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6871,625 5/4-413(F),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6872,625 5/4-413F,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6873,625 5/4-6(J),Consuming alcohol in public,Other public order offense,Public order offense
6874,625 5/4-601(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6875,625 5/4-707,Driving without insurance,Other vehicle-related offense,DUI/vehicle offense
6876,625 5/4.0104(A)(4),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6877,625 5/4/104(A)(1),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6878,625 5/401-G,Possession of stolen motor vehicle,Possession of stolen motor vehicle,Propert offense
6879,625 5/402,Leaving the scene of an accident,Other vehicle-related offense,DUI/vehicle offense
6880,625 5/4104(A)(4),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6881,625 5/413 F YE690344,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6882,625 5/413(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6883,625 5/413(B),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6884,625 5/413A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6885,625 5/413B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6886,625 5/5-102(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6887,625 5/5-202-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6888,625 5/5-3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6889,625 5/5.0/11-501(A)(2),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6890,625 5/5.0/11-801,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6891,625 5/5.0/3-413F,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6892,625 5/5.0/3-707,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6893,625 5/5/11-501-A-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6894,625 5/5/202-E,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6895,625 5/5/303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6896,625 5/501 A 4/A 1 H,DUI,DUI,DUI/vehicle offense
6897,625 5/501--D-A-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6898,625 5/501-A-1,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6899,625 5/501-A-2,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6900,625 5/501-D-1-G,DUI,DUI,DUI/vehicle offense
6901,625 5/501-D-1-H,DUI,DUI,DUI/vehicle offense
6902,625 5/501(A)(1)(D)(1)(H),DUI,DUI,DUI/vehicle offense
6903,625 5/501(A)(2),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6904,625 5/501(A)(6)(D)(1)(H),DUI,DUI,DUI/vehicle offense
6905,625 5/501A2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6906,625 5/502 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6907,625 5/502-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6908,625 5/502(9),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6909,625 5/502(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6910,625 5/550/4-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6911,625 5/6 101,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6912,625 5/6 11-6,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6913,625 5/6 303 A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6914,625 5/6 303-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6915,625 5/6 303A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6916,625 5/6-0303,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6917,625 5/6-101,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6918,625 5/6-101             38739964,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6919,625 5/6-101            38742081,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6920,625 5/6-101            38984755,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6921,625 5/6-101            TH443755,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6922,625 5/6-101            TH586601,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6923,625 5/6-101           38891777,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6924,625 5/6-101           38981291,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6925,625 5/6-101           38986880,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6926,625 5/6-101           38987387,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6927,625 5/6-101           38990800,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6928,625 5/6-101           38994160,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6929,625 5/6-101           38999604,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6930,625 5/6-101           TH292428,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6931,625 5/6-101           TH392698,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6932,625 5/6-101           TH424890,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6933,625 5/6-101           TH580702,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6934,625 5/6-101           TK003190,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6935,625 5/6-101          38741724,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6936,625 5/6-101          38984611,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6937,625 5/6-101          38984797,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6938,625 5/6-101          38987405,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6939,625 5/6-101          39001274,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6940,625 5/6-101          TH359503,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6941,625 5/6-101          TH575329,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6942,625 5/6-101          TH635104,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6943,625 5/6-101          TK011816,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6944,625 5/6-101          TK012178,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6945,625 5/6-101          TK034224,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6946,625 5/6-101         38985429,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6947,625 5/6-101         TH-451-040,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6948,625 5/6-101         TH363286,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6949,625 5/6-101         TH380623,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6950,625 5/6-101         TH449845,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6951,625 5/6-101         TH480385,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6952,625 5/6-101         TH570000,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6953,625 5/6-101         TH570538,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6954,625 5/6-101         TH600110,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6955,625 5/6-101         TH625251,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6956,625 5/6-101         TK020628,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6957,625 5/6-101         TK023732,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6958,625 5/6-101        TH-067-068,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6959,625 5/6-101        TH390057,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6960,625 5/6-101        TH529906,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6961,625 5/6-101        TH534573,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6962,625 5/6-101        TH537244,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6963,625 5/6-101        TH567036,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6964,625 5/6-101        TH568074,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6965,625 5/6-101        TH588615,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6966,625 5/6-101        TH591675,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6967,625 5/6-101        TH607862,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6968,625 5/6-101       TH249271,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6969,625 5/6-101       TH580628,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6970,625 5/6-101       TH586765,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6971,625 5/6-101     TH-490-966,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6972,625 5/6-101     TH392485,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6973,625 5/6-101 3051125,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6974,625 5/6-101 TN-069-633,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6975,625 5/6-101 TN363572,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6976,625 5/6-101 TN577067,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6977,625 5/6-101 TN822715,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6978,625 5/6-101 YE690345,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6979,625 5/6-101-A,Driving on suspended license,Driving on a suspended license,DUI/vehicle offense
6980,625 5/6-101-B,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6981,625 5/6-101(A),Driving without a license,Other vehicle-related offense,DUI/vehicle offense
6982,625 5/6-104,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6983,625 5/6-104 A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6984,625 5/6-104-A,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6985,625 5/6-104(A),Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6986,625 5/6-107,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6987,625 5/6-11-2,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6988,625 5/6-112,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6989,625 5/6-112            TH610464,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6990,625 5/6-112           TH497044,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
6991,625 5/6-112           TK042924,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense
